	Week	Month	Day	TweetNumber
0	1	9	1	0
1	1	12	31	1
2	1	12	30	6
3	1	12	29	8
4	1	12	28	11
5	1	12	27	2
6	1	12	26	3
7	1	12	25	5
8	1	12	24	4
9	1	12	23	6
10	1	12	22	11
11	1	12	21	5
12	1	12	20	6
13	1	12	19	5
14	1	12	18	13
15	1	12	17	2
16	1	12	16	8
17	1	12	15	4
18	1	12	14	7
19	1	12	13	5
20	1	12	12	5
21	1	12	11	1
22	1	12	10	4
23	1	12	9	14
24	1	12	8	8
25	1	12	7	9
26	1	12	6	5
27	1	12	5	2
28	1	12	4	4
29	1	12	3	14
30	1	12	2	4
31	1	12	1	9
32	1	11	30	15
33	1	11	29	20
34	1	11	28	15
35	1	11	27	4
36	1	11	26	3
37	1	11	25	5
38	1	11	24	10
39	1	11	23	8
40	1	11	22	11
41	1	11	21	2
42	1	11	20	4
43	1	11	19	4
44	1	11	18	4
45	1	11	17	7
46	1	11	16	7
47	1	11	15	15
48	1	11	14	8
49	1	11	13	4
50	1	11	12	8
51	1	11	11	4
52	1	11	10	9
53	1	11	9	4
54	1	11	8	12
55	1	11	7	11
56	1	11	6	7
57	1	11	5	6
58	1	11	4	5
59	1	11	3	20
60	1	11	2	14
61	1	11	1	15
62	1	10	31	15
63	1	10	30	4
64	1	10	29	6
65	1	10	28	11
66	1	10	27	15
67	1	10	26	11
68	1	10	25	13
69	1	10	24	8
70	1	10	23	4
71	1	10	22	5
72	1	10	21	12
73	1	10	20	11
74	1	10	19	7
75	1	10	18	17
76	1	10	17	9
77	1	10	16	9
78	1	10	15	2
79	1	10	14	14
80	1	10	13	13
81	1	10	12	12
82	1	10	11	15
83	1	10	10	11
84	1	10	9	3
85	1	10	8	11
86	1	10	7	12
87	1	10	6	3
88	1	10	5	10
89	1	10	4	13
90	1	10	3	4
91	1	10	2	2
92	1	10	1	8
93	1	9	30	32
94	1	9	29	12
95	1	9	28	8
96	1	9	27	12
97	1	9	26	21
98	1	9	25	9
99	1	9	24	11
100	1	9	23	13
101	1	9	22	11
102	1	9	21	9
103	1	9	20	26
104	1	9	19	9
105	1	9	18	5
106	1	9	17	15
107	1	9	16	3
108	1	9	15	14
109	1	9	14	13
110	1	9	13	3
111	1	9	12	5
112	1	9	11	2
113	1	9	10	11
114	1	9	9	3
115	1	9	8	8
116	1	9	7	12
117	1	9	6	8
118	1	9	5	6
119	1	9	4	1
120	1	9	3	13
121	1	9	2	4
122	1	9	1	7
123	1	8	31	5
124	1	8	30	5
125	1	8	29	6
126	1	8	28	4
127	1	8	27	11
128	1	8	26	12
129	1	8	25	14
130	1	8	24	15
131	1	8	23	10
132	1	8	22	8
133	1	8	21	3
134	1	8	20	1
135	1	8	19	10
136	1	8	18	8
137	1	8	17	12
138	1	8	16	15
139	1	8	15	10
140	1	8	14	9
141	1	8	13	4
142	1	8	12	9
143	1	8	11	8
144	1	8	10	9
145	1	8	9	11
146	1	8	8	8
147	1	8	7	16
148	1	8	6	2
